headline,tokens,filtered_terms,annotation
Everything is about to Change for Crypto and you are not ready for it,"['everything', 'is', 'about', 'to', 'change', 'for', 'crypto', 'and', 'you', 'are', 'not', 'ready', 'for', 'it']","['everything', 'change', 'crypto', 'ready']",['crypto']
"The resurgence of EOS: breaking down its recent changes and what it means for the future.
","['the', 'resurgence', 'of', 'eos', 'breaking', 'down', 'its', 'recent', 'changes', 'and', 'what', 'it', 'means', 'for', 'the', 'future']","['resurgence', 'eos', 'breaking', 'recent', 'changes', 'means', 'future']",[]
Ton dev req,"['ton', 'dev', 'req']","['ton', 'dev', 'req']",['req']
Blockchain Oracles: Bridging the Gap between On-Chain and Off-Chain Data,"['blockchain', 'oracles', 'bridging', 'the', 'gap', 'between', 'onchain', 'and', 'offchain', 'data']","['blockchain', 'oracles', 'bridging', 'gap', 'onchain', 'offchain', 'data']",['blockchain']
Blockchain and Tax Strategies: Share Your Insights and Win a $10 Amazon Gift Card!,"['blockchain', 'and', 'tax', 'strategies', 'share', 'your', 'insights', 'and', 'win', 'a', 'amazon', 'gift', 'card']","['blockchain', 'tax', 'strategies', 'share', 'insights', 'win', 'amazon', 'gift', 'card']",['blockchain']
Possibly new narrative: Horizontal & Vertical AI Swarms,"['possibly', 'new', 'narrative', 'horizontal', 'vertical', 'ai', 'swarms']","['possibly', 'new', 'narrative', 'horizontal', 'vertical', 'ai', 'swarms']",[]
Finding core team,"['finding', 'core', 'team']","['finding', 'core', 'team']",[]
Is this a feasible start-up idea?,"['is', 'this', 'a', 'feasible', 'startup', 'idea']","['feasible', 'startup', 'idea']",[]
buy crypto,"['buy', 'crypto']","['buy', 'crypto']",['crypto']
Gravitas load balancer for blockchain networks,"['gravitas', 'load', 'balancer', 'for', 'blockchain', 'networks']","['gravitas', 'load', 'balancer', 'blockchain', 'networks']",['blockchain']
Tezos Q1 2025 Webinar: Unlocking New Markets with Fractionalized Uranium Ownership ,"['tezos', 'q', 'webinar', 'unlocking', 'new', 'markets', 'with', 'fractionalized', 'uranium', 'ownership']","['tezos', 'q', 'webinar', 'unlocking', 'new', 'markets', 'fractionalized', 'uranium', 'ownership']",['tezos']
Best Blockchains for Developers: Who Will Lead in 2024?,"['best', 'blockchains', 'for', 'developers', 'who', 'will', 'lead', 'in']","['best', 'blockchains', 'developers', 'lead']",[]
New RWA platform in presale,"['new', 'rwa', 'platform', 'in', 'presale']","['new', 'rwa', 'platform', 'presale']",['rwa']
Crypto Staking: A New Way to Earn Passive Income or a Risky Investment?,"['crypto', 'staking', 'a', 'new', 'way', 'to', 'earn', 'passive', 'income', 'or', 'a', 'risky', 'investment']","['crypto', 'staking', 'new', 'way', 'earn', 'passive', 'income', 'risky', 'investment']","['crypto', 'staking']"
"Want to win 1,000 $XDC + a Biometric Wallet? Here’s your chance!","['want', 'to', 'win', 'xdc', 'a', 'biometric', 'wallet', 'heres', 'your', 'chance']","['want', 'win', 'xdc', 'biometric', 'wallet', 'heres', 'chance']","['xdc', 'wallet']"
New iOS Features: Upgraded and More User-Friendly,"['new', 'ios', 'features', 'upgraded', 'and', 'more', 'userfriendly']","['new', 'ios', 'features', 'upgraded', 'userfriendly']",[]
Help me find a problem to solve.,"['help', 'me', 'find', 'a', 'problem', 'to', 'solve']","['help', 'find', 'problem', 'solve']",[]
Seeking Your Insights on Investment Behaviour!,"['seeking', 'your', 'insights', 'on', 'investment', 'behaviour']","['seeking', 'insights', 'investment', 'behaviour']",[]
Kudos to KuCoin's Next Chapter!,"['kudos', 'to', 'kucoins', 'next', 'chapter']","['kudos', 'kucoins', 'next', 'chapter']",['kucoins']
Will Blockchain Survive the Rise of Quantum Computing?,"['will', 'blockchain', 'survive', 'the', 'rise', 'of', 'quantum', 'computing']","['blockchain', 'survive', 'rise', 'quantum', 'computing']",['blockchain']
What are the biggest problems you have faced starting a blockchain startup?,"['what', 'are', 'the', 'biggest', 'problems', 'you', 'have', 'faced', 'starting', 'a', 'blockchain', 'startup']","['biggest', 'problems', 'faced', 'starting', 'blockchain', 'startup']",['blockchain']
DeSpeed,['despeed'],['despeed'],['despeed']
Can Blockchain Finally Protect Creators’ Rights in the Digital Age?,"['can', 'blockchain', 'finally', 'protect', 'creators', 'rights', 'in', 'the', 'digital', 'age']","['blockchain', 'finally', 'protect', 'creators', 'rights', 'digital', 'age']",['blockchain']
Evernode = DePIN for Seriously Smart dApps,"['evernode', 'depin', 'for', 'seriously', 'smart', 'dapps']","['evernode', 'depin', 'seriously', 'smart', 'dapps']","['evernode', 'depin']"
TedAI Project Overview.,"['tedai', 'project', 'overview']","['tedai', 'project', 'overview']",['tedai']
Check out some snapshots from today’s WEB3 & AI: Gitex Global Side Event!,"['check', 'out', 'some', 'snapshots', 'from', 'todays', 'web', 'ai', 'gitex', 'global', 'side', 'event']","['check', 'snapshots', 'todays', 'web', 'ai', 'gitex', 'global', 'side', 'event']",['snapshots']
FREE Blockchain Engineering (BE+) Program starts on 17 Jan ,"['free', 'blockchain', 'engineering', 'be', 'program', 'starts', 'on', 'jan']","['free', 'blockchain', 'engineering', 'program', 'starts', 'jan']",['blockchain']
Privacy Coins: Protecting Your Financial Secrets in a Transparent Digital World,"['privacy', 'coins', 'protecting', 'your', 'financial', 'secrets', 'in', 'a', 'transparent', 'digital', 'world']","['privacy', 'coins', 'protecting', 'financial', 'secrets', 'transparent', 'digital', 'world']",['coins']
Story Protocol Airdrop Step-by-Step Guide to Qualify,"['story', 'protocol', 'airdrop', 'stepbystep', 'guide', 'to', 'qualify']","['story', 'protocol', 'airdrop', 'guide', 'qualify']",['story']
Music industry and blockchain ,"['music', 'industry', 'and', 'blockchain']","['music', 'industry', 'blockchain']",['blockchain']
Blockchain is great tech,"['blockchain', 'is', 'great', 'tech']","['blockchain', 'great', 'tech']",['blockchain']
master thesis in law about blockchain,"['master', 'thesis', 'in', 'law', 'about', 'blockchain']","['master', 'thesis', 'law', 'blockchain']",['blockchain']
Would it be possible to use blockchain to put a stop to the spam call crisis?,"['would', 'it', 'be', 'possible', 'to', 'use', 'blockchain', 'to', 'put', 'a', 'stop', 'to', 'the', 'spam', 'call', 'crisis']","['would', 'possible', 'use', 'blockchain', 'put', 'stop', 'spam', 'call', 'crisis']",['blockchain']
Discover smarter trading on XDC with DEXTools.io!,"['discover', 'smarter', 'trading', 'on', 'xdc', 'with', 'dextoolsio']","['discover', 'smarter', 'trading', 'xdc', 'dextoolsio']","['trading', 'xdc']"
"What TikTok and Blockchain Have in Common: A Peek into Viral Technology
","['what', 'tiktok', 'and', 'blockchain', 'have', 'in', 'common', 'a', 'peek', 'into', 'viral', 'technology']","['tiktok', 'blockchain', 'common', 'peek', 'viral', 'technology']",['blockchain']
"Get Paid to Trade KuCoin’s $100M Giveaway 💎KuCoin is giving out $100 million in bonuses and trading perks! Whether you’re a beginner or a pro, you can earn free crypto. Just trade and claim rewards","['get', 'paid', 'to', 'trade', 'kucoins', 'm', 'giveaway', 'kucoin', 'is', 'giving', 'out', 'million', 'in', 'bonuses', 'and', 'trading', 'perks', 'whether', 'youre', 'a', 'beginner', 'or', 'a', 'pro', 'you', 'can', 'earn', 'free', 'crypto', 'just', 'trade', 'and', 'claim', 'rewards']","['get', 'paid', 'trade', 'kucoins', 'giveaway', 'kucoin', 'giving', 'million', 'bonuses', 'trading', 'perks', 'whether', 'youre', 'beginner', 'pro', 'earn', 'free', 'crypto', 'trade', 'claim', 'rewards']","['kucoins', 'kucoin', 'trading', 'crypto']"
What is Bitcoin and why all the hype?  @BlockchainBriefsin3,"['what', 'is', 'bitcoin', 'and', 'why', 'all', 'the', 'hype', 'blockchainbriefsin']","['bitcoin', 'hype', 'blockchainbriefsin']",['bitcoin']
DeSpeed- A fairly new passive earning website,"['despeed', 'a', 'fairly', 'new', 'passive', 'earning', 'website']","['despeed', 'fairly', 'new', 'passive', 'earning', 'website']",['despeed']
What are RWA INC real world assets and potential?,"['what', 'are', 'rwa', 'inc', 'real', 'world', 'assets', 'and', 'potential']","['rwa', 'inc', 'real', 'world', 'assets', 'potential']",['rwa']
Curious How Web3 Could Transform Our World?,"['curious', 'how', 'web', 'could', 'transform', 'our', 'world']","['curious', 'web', 'could', 'transform', 'world']",[]
Blockchain for Social Good: Can It Really Help Solve Global Challenges?,"['blockchain', 'for', 'social', 'good', 'can', 'it', 'really', 'help', 'solve', 'global', 'challenges']","['blockchain', 'social', 'good', 'really', 'help', 'solve', 'global', 'challenges']",['blockchain']
RWA Industry Overview and the Potential of RWA Inc;,"['rwa', 'industry', 'overview', 'and', 'the', 'potential', 'of', 'rwa', 'inc']","['rwa', 'industry', 'overview', 'potential', 'rwa', 'inc']","['rwa', 'rwa']"
System and Method for Transferring Currency on Blockchain,"['system', 'and', 'method', 'for', 'transferring', 'currency', 'on', 'blockchain']","['system', 'method', 'transferring', 'currency', 'blockchain']",['blockchain']
Unlocking Blockchain: How Cryptocurrency Is Changing the World,"['unlocking', 'blockchain', 'how', 'cryptocurrency', 'is', 'changing', 'the', 'world']","['unlocking', 'blockchain', 'cryptocurrency', 'changing', 'world']","['blockchain', 'cryptocurrency']"
Query,['query'],['query'],[]
BACKEND,['backend'],['backend'],[]
Pavilion Network: A New Blockchain-Powered Venture,"['pavilion', 'network', 'a', 'new', 'blockchainpowered', 'venture']","['pavilion', 'network', 'new', 'blockchainpowered', 'venture']",['pavilion']
Which industries will be the early adopters of blockchain payments?,"['which', 'industries', 'will', 'be', 'the', 'early', 'adopters', 'of', 'blockchain', 'payments']","['industries', 'early', 'adopters', 'blockchain', 'payments']",['blockchain']
How to Become a Blockchain Developer in 2024: Your Guide to Opportunities and Trends,"['how', 'to', 'become', 'a', 'blockchain', 'developer', 'in', 'your', 'guide', 'to', 'opportunities', 'and', 'trends']","['become', 'blockchain', 'developer', 'guide', 'opportunities', 'trends']",['blockchain']
The Evolution of DeFi | What’s Next for Decentralized Finance?,"['the', 'evolution', 'of', 'defi', 'whats', 'next', 'for', 'decentralized', 'finance']","['evolution', 'defi', 'whats', 'next', 'decentralized', 'finance']","['defi', 'decentralized']"
Tokenizing the Future: Could Blockchain Change the Way We Own Assets?,"['tokenizing', 'the', 'future', 'could', 'blockchain', 'change', 'the', 'way', 'we', 'own', 'assets']","['tokenizing', 'future', 'could', 'blockchain', 'change', 'way', 'assets']",['blockchain']
Crypto Exchange KuCoin Hit with $300 Million US Settlement,"['crypto', 'exchange', 'kucoin', 'hit', 'with', 'million', 'us', 'settlement']","['crypto', 'exchange', 'kucoin', 'hit', 'million', 'us', 'settlement']","['crypto', 'exchange', 'kucoin']"
"If private blockchains are dying, why is AWS pouring investment in to managed public / private ones for customers?","['if', 'private', 'blockchains', 'are', 'dying', 'why', 'is', 'aws', 'pouring', 'investment', 'in', 'to', 'managed', 'public', 'private', 'ones', 'for', 'customers']","['private', 'blockchains', 'dying', 'aws', 'pouring', 'investment', 'managed', 'public', 'private', 'ones', 'customers']",[]
Explore how Trade Enabler is bridging finance and blockchain on the XDC Network! ,"['explore', 'how', 'trade', 'enabler', 'is', 'bridging', 'finance', 'and', 'blockchain', 'on', 'the', 'xdc', 'network']","['explore', 'trade', 'enabler', 'bridging', 'finance', 'blockchain', 'xdc', 'network']","['blockchain', 'xdc']"
Where I find to learn blockchain in go ,"['where', 'i', 'find', 'to', 'learn', 'blockchain', 'in', 'go']","['find', 'learn', 'blockchain', 'go']",['blockchain']
Inferium: Revolutionizing AI Model Deployment and Utilization,"['inferium', 'revolutionizing', 'ai', 'model', 'deployment', 'and', 'utilization']","['inferium', 'revolutionizing', 'ai', 'model', 'deployment', 'utilization']",['inferium']
"zk-SNARKs: How to Prove Something Without Sharing the Details

","['zksnarks', 'how', 'to', 'prove', 'something', 'without', 'sharing', 'the', 'details']","['zksnarks', 'prove', 'something', 'without', 'sharing', 'details']",['zksnarks']
A Tool for Aggregating Web3 Income Streams,"['a', 'tool', 'for', 'aggregating', 'web', 'income', 'streams']","['tool', 'aggregating', 'web', 'income', 'streams']",[]
"Can't figure out, why this is not working?","['cant', 'figure', 'out', 'why', 'this', 'is', 'not', 'working']","['cant', 'figure', 'working']",[]
The XDC Network's Remix IDE is here to simplify smart contract deployment on XDC. ,"['the', 'xdc', 'networks', 'remix', 'ide', 'is', 'here', 'to', 'simplify', 'smart', 'contract', 'deployment', 'on', 'xdc']","['xdc', 'networks', 'remix', 'ide', 'simplify', 'smart', 'contract', 'deployment', 'xdc']","['xdc', 'xdc']"
Can Crypto Survive Without Miners?,"['can', 'crypto', 'survive', 'without', 'miners']","['crypto', 'survive', 'without', 'miners']",['crypto']
How to get awareness for a project?,"['how', 'to', 'get', 'awareness', 'for', 'a', 'project']","['get', 'awareness', 'project']",[]
Exploring the Power of NFT Black and White Art: Why Minimalism is Taking Over the Digital Art Space,"['exploring', 'the', 'power', 'of', 'nft', 'black', 'and', 'white', 'art', 'why', 'minimalism', 'is', 'taking', 'over', 'the', 'digital', 'art', 'space']","['exploring', 'power', 'nft', 'black', 'white', 'art', 'minimalism', 'taking', 'digital', 'art', 'space']",['nft']
Real Estate Tokenization Hits $6 Billion | A New Era for Property Investment,"['real', 'estate', 'tokenization', 'hits', 'billion', 'a', 'new', 'era', 'for', 'property', 'investment']","['real', 'estate', 'tokenization', 'hits', 'billion', 'new', 'era', 'property', 'investment']",['tokenization']
Blockchain support emergency help needed ,"['blockchain', 'support', 'emergency', 'help', 'needed']","['blockchain', 'support', 'emergency', 'help', 'needed']",['blockchain']
Why aren't there more utility dApps?,"['why', 'arent', 'there', 'more', 'utility', 'dapps']","['arent', 'utility', 'dapps']",[]
RFC: Roughchain — a new L1 based on real world economic reputation consensus,"['rfc', 'roughchain', 'a', 'new', 'l', 'based', 'on', 'real', 'world', 'economic', 'reputation', 'consensus']","['rfc', 'roughchain', 'new', 'l', 'based', 'real', 'world', 'economic', 'reputation', 'consensus']",['consensus']
How Blockchain Is Revolutionizing Business Development in 2024,"['how', 'blockchain', 'is', 'revolutionizing', 'business', 'development', 'in']","['blockchain', 'revolutionizing', 'business', 'development']",['blockchain']
Blockchain Database,"['blockchain', 'database']","['blockchain', 'database']",['blockchain']
DWF Labs rides memecoins’ rise with $20m fund,"['dwf', 'labs', 'rides', 'memecoins', 'rise', 'with', 'm', 'fund']","['dwf', 'labs', 'rides', 'memecoins', 'rise', 'fund']",[]
Looking for co-founder,"['looking', 'for', 'cofounder']",['cofounder'],[]
Polkadot: The Bridge to the Future of Web3 🌐✨,"['polkadot', 'the', 'bridge', 'to', 'the', 'future', 'of', 'web']","['polkadot', 'bridge', 'future', 'web']","['polkadot', 'bridge']"
Blockchain Future ,"['blockchain', 'future']","['blockchain', 'future']",['blockchain']
Here Is A List Of The 20 Most Popular Meme Coins On Tron Blockchain.,"['here', 'is', 'a', 'list', 'of', 'the', 'most', 'popular', 'meme', 'coins', 'on', 'tron', 'blockchain']","['list', 'popular', 'meme', 'coins', 'tron', 'blockchain']","['coins', 'tron', 'blockchain']"
Estamos buscando devs apasionados por blockchain para unirse a nuestro equipo remoto 🚀,"['estamos', 'buscando', 'devs', 'apasionados', 'por', 'blockchain', 'para', 'unirse', 'a', 'nuestro', 'equipo', 'remoto']","['estamos', 'buscando', 'devs', 'apasionados', 'por', 'blockchain', 'para', 'unirse', 'nuestro', 'equipo', 'remoto']",['blockchain']
Help me to create a Blockchain Bank,"['help', 'me', 'to', 'create', 'a', 'blockchain', 'bank']","['help', 'create', 'blockchain', 'bank']",['blockchain']
"Viva AI: An Autonomous, Decentralized AI That Executes Tasks","['viva', 'ai', 'an', 'autonomous', 'decentralized', 'ai', 'that', 'executes', 'tasks']","['viva', 'ai', 'autonomous', 'decentralized', 'ai', 'executes', 'tasks']","['viva', 'decentralized']"
Which DeFi Startups Will Thrive and Transform?,"['which', 'defi', 'startups', 'will', 'thrive', 'and', 'transform']","['defi', 'startups', 'thrive', 'transform']",['defi']
Introducing $VPNFAIL token on TON - VPN.fail utility token,"['introducing', 'vpnfail', 'token', 'on', 'ton', 'vpnfail', 'utility', 'token']","['introducing', 'vpnfail', 'token', 'ton', 'vpnfail', 'utility', 'token']","['token', 'token']"
Atomic Mail is launching!,"['atomic', 'mail', 'is', 'launching']","['atomic', 'mail', 'launching']",[]
Looking for technical co-founder,"['looking', 'for', 'technical', 'cofounder']","['technical', 'cofounder']",[]
Depin,['depin'],['depin'],['depin']
Anyone else excited about the AI Agent coming to YieldNest?,"['anyone', 'else', 'excited', 'about', 'the', 'ai', 'agent', 'coming', 'to', 'yieldnest']","['else', 'excited', 'ai', 'agent', 'coming', 'yieldnest']",['yieldnest']
Base Chain Coin Flipping: Progress Update ,"['base', 'chain', 'coin', 'flipping', 'progress', 'update']","['base', 'chain', 'coin', 'flipping', 'progress', 'update']",['coin']
I was banned illegally by r/cryptocurrency and r/crypto being coded the first legal new law on block chain history,"['i', 'was', 'banned', 'illegally', 'by', 'rcryptocurrency', 'and', 'rcrypto', 'being', 'coded', 'the', 'first', 'legal', 'new', 'law', 'on', 'block', 'chain', 'history']","['banned', 'illegally', 'rcryptocurrency', 'rcrypto', 'coded', 'first', 'legal', 'new', 'law', 'block', 'chain', 'history']",['rcryptocurrency']
Fireblocks Taps Google Cloud’s Confidential Space,"['fireblocks', 'taps', 'google', 'clouds', 'confidential', 'space']","['fireblocks', 'taps', 'google', 'clouds', 'confidential', 'space']",['fireblocks']
Blockchain-Powered DAOs: Could They Redefine Corporate Structures and Decision-Making?,"['blockchainpowered', 'daos', 'could', 'they', 'redefine', 'corporate', 'structures', 'and', 'decisionmaking']","['blockchainpowered', 'daos', 'could', 'redefine', 'corporate', 'structures', 'decisionmaking']",[]
[p][r][o][p][e][r][t][y],['property'],['property'],[]
Blockchain in Agriculture: Empowering Farmers with Data and Transparency,"['blockchain', 'in', 'agriculture', 'empowering', 'farmers', 'with', 'data', 'and', 'transparency']","['blockchain', 'agriculture', 'empowering', 'farmers', 'data', 'transparency']",['blockchain']
Eliza Labs Partners with Stanford to Explore AI in Web3,"['eliza', 'labs', 'partners', 'with', 'stanford', 'to', 'explore', 'ai', 'in', 'web']","['eliza', 'labs', 'partners', 'stanford', 'explore', 'ai', 'web']",['eliza']
🚀✨ Celebrating a groundbreaking collaboration!,"['celebrating', 'a', 'groundbreaking', 'collaboration']","['celebrating', 'groundbreaking', 'collaboration']",[]
Blockchain: Building Blocks of Digital Trust,"['blockchain', 'building', 'blocks', 'of', 'digital', 'trust']","['blockchain', 'building', 'blocks', 'digital', 'trust']",['blockchain']
An idea,"['an', 'idea']",['idea'],[]
open position available? ,"['open', 'position', 'available']","['open', 'position', 'available']",[]
"What tools do you use to monitor blockchain events, and what do you wish they did better?","['what', 'tools', 'do', 'you', 'use', 'to', 'monitor', 'blockchain', 'events', 'and', 'what', 'do', 'you', 'wish', 'they', 'did', 'better']","['tools', 'use', 'monitor', 'blockchain', 'events', 'wish', 'better']",['blockchain']
Any developers around ,"['any', 'developers', 'around']","['developers', 'around']",[]
🎉 SURPRISE FOR EARLY INVESTORS! 🎉,"['surprise', 'for', 'early', 'investors']","['surprise', 'early', 'investors']",[]
"Layer One X Blockchain, re-listing on DEX's","['layer', 'one', 'x', 'blockchain', 'relisting', 'on', 'dexs']","['layer', 'one', 'x', 'blockchain', 'relisting', 'dexs']","['one', 'blockchain']"
Learn Blockchain Development: Why and from Where? How challenging is it gonna be?,"['learn', 'blockchain', 'development', 'why', 'and', 'from', 'where', 'how', 'challenging', 'is', 'it', 'gon', 'na', 'be']","['learn', 'blockchain', 'development', 'challenging', 'gon', 'na']",['blockchain']
XDC Subnets are revolutionizing industries!,"['xdc', 'subnets', 'are', 'revolutionizing', 'industries']","['xdc', 'subnets', 'revolutionizing', 'industries']",['xdc']
Design agency specialized in Web3,"['design', 'agency', 'specialized', 'in', 'web']","['design', 'agency', 'specialized', 'web']",[]
Nodepay Airdrop Season 2: Your Step-by-Step Guide,"['nodepay', 'airdrop', 'season', 'your', 'stepbystep', 'guide']","['nodepay', 'airdrop', 'season', 'guide']",['nodepay']
XDC Meme Season MeetUp!,"['xdc', 'meme', 'season', 'meetup']","['xdc', 'meme', 'season', 'meetup']",['xdc']
How is blockchain superior to a relational database?,"['how', 'is', 'blockchain', 'superior', 'to', 'a', 'relational', 'database']","['blockchain', 'superior', 'relational', 'database']",['blockchain']
Need funds,"['need', 'funds']","['need', 'funds']",[]
one.id - A New Take on Blockchain for Digital Identity and Privacy,"['oneid', 'a', 'new', 'take', 'on', 'blockchain', 'for', 'digital', 'identity', 'and', 'privacy']","['oneid', 'new', 'take', 'blockchain', 'digital', 'identity', 'privacy']",['blockchain']
Smart contract ,"['smart', 'contract']","['smart', 'contract']",[]
Huddle01 | What the heck is it?,"['huddle', 'what', 'the', 'heck', 'is', 'it']","['huddle', 'heck']",[]
RWAI: An AI to Launch Your Own RWA Project,"['rwai', 'an', 'ai', 'to', 'launch', 'your', 'own', 'rwa', 'project']","['rwai', 'ai', 'launch', 'rwa', 'project']","['rwai', 'rwa']"
Daggers Over Chains,"['daggers', 'over', 'chains']","['daggers', 'chains']",['daggers']
Looking for someone to take over our LIVE on iOS & ANDRD Portfolio Tracker with a few users for 1.4 ETH ONLY!!,"['looking', 'for', 'someone', 'to', 'take', 'over', 'our', 'live', 'on', 'ios', 'andrd', 'portfolio', 'tracker', 'with', 'a', 'few', 'users', 'for', 'eth', 'only']","['take', 'live', 'ios', 'andrd', 'portfolio', 'tracker', 'users', 'eth']",['eth']
Do you think there’s a market for a crypto-backed loan product?,"['do', 'you', 'think', 'theres', 'a', 'market', 'for', 'a', 'cryptobacked', 'loan', 'product']","['think', 'theres', 'market', 'cryptobacked', 'loan', 'product']",[]
Raise funds?,"['raise', 'funds']","['raise', 'funds']",[]
